country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population,gdp_usd
Northern Cyprus,58,5.835,1.229,,0.909,0.495,0.179,0.154,1.211,Europe,1189.262,$0.00 
Russia,59,5.81,1.151,,0.599,0.399,0.065,0.025,1.479,Asia,145734.034,"$11,289.44 "
Kazakhstan,60,5.79,1.143,,0.631,0.454,0.148,0.121,1.516,Asia,18319.616,"$9,401.21 "
Cyprus,61,5.762,1.229,,0.909,0.423,0.202,0.035,1.191,Europe,1189.265,"$28,341.05 "
Bolivia,62,5.752,0.751,,0.508,0.606,0.141,0.054,1.223,South America,11353.14,"$3,565.50 "
Estonia,63,5.739,1.2,,0.737,0.553,0.086,0.174,1.532,Europe,1322.913,"$23,330.28 "
Paraguay,64,5.681,0.835,,0.615,0.541,0.162,0.074,1.522,South America,6956.069,"$5,934.18 "
Peru,65,5.663,0.934,,0.674,0.53,0.092,0.034,1.249,South America,31989.265,"$7,007.17 "
Kosovo,66,5.662,0.855,,0.578,0.448,0.274,0.023,1.23,Europe,1617,"$4,432.56 "
Moldova,67,5.64,0.657,,0.62,0.232,0.171,0,1.301,Europe,4051.95,"$3,190.83 "
Turkmenistan,68,5.636,1.016,,0.517,0.417,0.199,0.037,1.533,Asia,5850.902,"$7,064.74 "
Hungary,69,5.62,1.171,,0.732,0.259,0.061,0.022,1.401,Europe,9707.502,"$16,484.19 "
Libya,70,5.566,0.985,,0.553,0.496,0.116,0.148,1.35,Africa,6678.565,"$6,287.65 "
Philippines,71,5.524,0.775,,0.513,0.643,0.12,0.105,1.312,Asia,106651.394,"$3,104.22 "
Honduras,72,5.504,0.62,,0.622,0.459,0.197,0.074,1.205,North America,9587.523,"$2,523.80 "
Belarus,73,5.483,1.039,,0.7,0.307,0.101,0.154,1.498,Europe,9452.615,"$6,283.48 "
Turkey,74,5.483,1.148,,0.686,0.324,0.106,0.109,1.38,Asia,82340.09,"$9,405.32 "
Pakistan,75,5.472,0.652,,0.424,0.334,0.216,0.113,0.81,Asia,212228.288,"$1,565.43 "
Hong Kong,76,5.43,1.405,,1.03,0.524,0.246,0.291,1.29,Asia,7371.728,"$48,450.61 "
Portugal,77,5.41,1.188,,0.884,0.562,0.055,0.017,1.429,Europe,10256.192,"$23,437.39 "
Serbia,78,5.398,0.975,,0.685,0.288,0.134,0.043,1.369,Europe,8802.741,"$7,223.00 "
Greece,79,5.358,1.154,,0.879,0.131,0,0.044,1.202,Europe,10522.244,"$20,317.18 "
Lebanon,80,5.358,0.965,,0.785,0.503,0.214,0.136,1.179,Asia,6859.408,"$9,251.21 "
Montenegro,81,5.347,1.017,,0.729,0.259,0.111,0.081,1.279,Europe,627.803,"$8,762.68 "
Croatia,82,5.321,1.115,,0.737,0.38,0.12,0.039,1.161,Europe,4156.407,"$14,870.42 "
Dominican Republic,83,5.302,0.982,,0.614,0.578,0.12,0.106,1.441,North America,10627.147,"$8,340.96 "
Algeria,84,5.295,0.979,,0.687,0.077,0.055,0.135,1.154,Africa,42228.415,"$4,080.91 "
Morocco,85,5.254,0.779,,0.669,0.46,0.026,0.074,0.797,Africa,36029.089,"$3,365.52 "
China,86,5.246,0.989,,0.799,0.597,0.029,0.103,1.142,Asia,1427647.789,"$9,580.24 "
Azerbaijan,87,5.201,1.024,,0.603,0.43,0.031,0.176,1.161,Europe,9949.537,"$4,722.33 "
Tajikistan,88,5.199,0.474,,0.598,0.292,0.187,0.034,1.166,Asia,9100.847,$825.77 
Macedonia,89,5.185,0.959,,0.691,0.394,0.173,0.052,1.239,Europe,2082.957,"$6,100.40 "
Jordan,90,5.161,0.822,,0.645,0.468,0.13,0.134,1.265,Asia,9965.322,"$4,270.17 "
Nigeria,91,5.155,0.689,,0.048,0.462,0.201,0.032,1.172,Africa,195874.685,"$2,032.86 "
Kyrgyzstan,92,5.131,0.53,,0.594,0.54,0.281,0.035,1.416,Asia,6304.025,"$1,293.46 "
Bosnia and Herzegovina,93,5.129,0.915,,0.758,0.28,0.216,0,1.078,Europe,3323.929,"$5,754.74 "
Mongolia,94,5.125,0.914,,0.575,0.395,0.253,0.032,1.517,Asia,3170.214,"$4,017.22 "
Vietnam,95,5.103,0.715,,0.702,0.618,0.177,0.079,1.365,Asia,95545.959,"$2,551.12 "
Indonesia,96,5.093,0.899,,0.522,0.538,0.484,0.018,1.215,Asia,267670.549,"$3,870.56 "
Bhutan,97,5.082,0.796,,0.527,0.541,0.364,0.171,1.335,Asia,754.396,"$3,160.06 "
Somalia,98,4.982,0,,0.115,0.674,0.238,0.282,0.712,Africa,15008.225,$0.00 
Cameroon,99,4.975,0.535,,0.182,0.454,0.183,0.043,0.891,Africa,25216.261,"$1,555.67 "
Bulgaria,100,4.933,1.054,,0.712,0.359,0.064,0.009,1.515,Europe,7051.61,"$9,313.83 "
Nepal,101,4.88,0.425,,0.539,0.526,0.302,0.078,1.228,Asia,28095.712,"$1,033.91 "
Venezuela,102,4.806,0.996,,0.657,0.133,0.056,0.052,1.469,South America,28887.117,"$3,410.85 "
Gabon,103,4.758,1.036,,0.404,0.356,0.032,0.052,1.164,Africa,2119.275,"$8,220.40 "
Palestinian Territories,104,4.743,0.642,,0.602,0.266,0.086,0.076,1.217,Asia,4862.978,$0.00 
