country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population,gdp_usd
Slovakia,45,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,,Europe,5435.614,"$55,645.61 "
Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,,Asia,127985.139,"$5,029.07 "
South Korea,47,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,,Asia,25183.832,$0.00 
Ecuador,48,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,,South America,16212.022,"$6,099.35 "
Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,,Asia,1371.853,"$1,303.18 "
Italy,50,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,,Europe,60578.489,"$35,791.22 "
Bolivia,51,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,,South America,10869.732,"$3,050.65 "
Moldova,52,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,,Europe,4070.705,"$3,080.33 "
Paraguay,53,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,,South America,6688.746,"$2,742.92 "
Kazakhstan,54,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,,Asia,17572.01,"$4,145.48 "
Slovenia,55,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,,Europe,2071.199,"$16,197.77 "
Lithuania,56,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,,Europe,2931.872,"$2,719.95 "
Nicaragua,57,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,,North America,6223.234,"$37,743.24 "
Peru,58,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,,South America,30470.739,"$5,353.08 "
Belarus,59,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,,Europe,9439.424,"$40,594.39 "
Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,,Europe,38034.076,"$2,882.77 "
Malaysia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,,Asia,30270.965,$353.51 
Croatia,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,,Europe,4232.874,"$11,779.01 "
Libya,63,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,,Africa,6418.315,$764.41 
Russia,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,,Asia,144985.059,"$8,950.46 "
Jamaica,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,,North America,2891.024,"$30,153.43 "
North Cyprus,66,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,,Europe,1160.987,$0.00 
Cyprus,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,,Europe,1160.985,"$23,248.20 "
Algeria,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,,Africa,39728.02,"$4,153.32 "
Kosovo,69,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,,Europe,1617,"$28,732.23 "
Turkmenistan,70,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,,Asia,5565.283,"$10,914.89 "
Mauritius,71,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,,Africa,1259.457,"$1,303.46 "
Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,,Asia,7185.992,"$2,341.28 "
Estonia,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,,Europe,1315.33,"$17,531.06 "
Indonesia,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0,,Asia,258383.257,"$1,639.69 "
Vietnam,75,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,,Asia,92677.082,"$10,568.10 "
Turkey,76,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,,Asia,78529.413,"$3,827.64 "
Kyrgyzstan,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,,Asia,5959.126,"$27,398.08 "
Nigeria,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,,Africa,181137.454,$362.72 
Bhutan,79,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,,Asia,727.885,"$2,604.81 "
Azerbaijan,80,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,,Europe,9622.741,"$32,268.96 "
Pakistan,81,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,,Asia,199426.953,"$18,243.81 "
Jordan,82,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,,Asia,9266.573,"$3,842.54 "
Montenegro,82,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,,Europe,626.957,"$34,568.93 "
China,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,,Asia,1406847.868,"$8,166.76 "
Zambia,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,,Africa,15879.37,"$1,307.16 "
Romania,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,,Europe,19925.182,"$66,346.91 "
Serbia,87,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,,Europe,8876.777,"$1,186.93 "
Portugal,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,,Europe,10368.346,"$12,565.74 "
Latvia,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,,Europe,1997.675,"$2,130.63 "
Philippines,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,,Asia,102113.206,"$6,141.43 "
Somaliland region,91,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,,Africa,13797.204,$0.00 
Morocco,92,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,,Africa,34663.608,"$6,517.42 "
Macedonia,93,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,,Europe,2079.335,"$2,726.34 "
Mozambique,94,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,,Africa,27042.001,"$2,964.96 "
Albania,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,,Europe,2890.524,"$3,953.61 "
Bosnia and Herzegovina,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,,Europe,3429.362,"$4,584.26 "
Lesotho,97,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,,Africa,2059.011,"$8,540.39 "
Dominican Republic,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,,North America,10281.675,"$7,139.51 "
Laos,99,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,,Asia,6741.16,"$1,132.84 "
Mongolia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,,Asia,2998.433,"$2,174.33 "
Swaziland,101,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,,Africa,1104.038,$0.00 
Greece,102,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,,Europe,10659.737,"$1,753.85 "
Lebanon,103,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,,Asia,6532.681,"$13,587.69 "
Hungary,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,,Europe,9777.925,"$42,321.71 "
Honduras,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,,North America,9112.904,$814.46 
Tajikistan,106,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,,Asia,8454.019,"$22,373.56 "
Tunisia,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,,Africa,11179.951,"$18,470.34 "
Palestinian Territories,108,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,,Asia,4529.16,$0.00 
Bangladesh,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,,Asia,156256.287,"$16,589.45 "
Iran,110,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,,Asia,78492.208,"$3,367.69 "
Ukraine,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,,Europe,44921.636,$646.89 
Iraq,112,4.677,0.98549,0.81889,0.60237,0,0.17922,0.13788,,Asia,35572.269,"$4,723.48 "
South Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,,Africa,55386.369,"$1,971.55 "
Ghana,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,,Africa,27849.203,"$41,159.94 "
Zimbabwe,115,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,,Africa,13814.642,"$1,310.35 "
Liberia,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,,Africa,4472.229,"$1,166.54 "
India,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,,Asia,1310152.392,"$52,838.36 "
Sudan,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,,Africa,38902.948,"$3,842.25 "
Haiti,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,,North America,10695.54,$712.05 
Congo (Kinshasa),120,4.517,0,1.0012,0.09806,0.22605,0.24834,0.07625,,Africa,76244.532,$435.98 
Nepal,121,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,,Asia,27015.033,"$6,994.05 "
Ethiopia,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,,Africa,100835.453,"$3,779.60 "
Sierra Leone,123,4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786,,Africa,7171.909,"$14,786.12 "
Mauritania,124,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,,Africa,4046.304,"$3,363.37 "
Kenya,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,,Africa,47878.339,"$10,435.17 "
Djibouti,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,,Africa,913.998,"$2,532.60 "
Armenia,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,,Europe,2925.559,"$3,529.03 "
Botswana,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,,Africa,2120.716,"$8,845.67 "
Myanmar,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,,Asia,52680.724,$528.93 
Georgia,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,,Europe,4024.18,"$7,453.11 "
Malawi,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,,Africa,16745.305,$400.35 
Sri Lanka,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,,Asia,20908.024,"$25,849.69 "
Cameroon,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,,Africa,23298.376,"$1,338.60 "
Bulgaria,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,,Europe,7199.739,"$7,017.41 "
Egypt,135,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,,Africa,92442.549,"$3,731.18 "
Yemen,136,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,,Asia,26497.881,"$2,085.71 "
Angola,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,,Africa,27884.38,"$4,354.92 "
Mali,138,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,,Africa,17438.772,"$11,781.09 "
Congo (Brazzaville),139,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,,Africa,4856.093,"$2,067.09 "
Comoros,140,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,,Africa,777.435,"$1,259.83 "
Uganda,141,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,,Africa,38225.447,"$3,280.97 "
Senegal,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,,Africa,14578.45,"$21,063.31 "
Gabon,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,,Africa,1947.69,"$37,937.86 "
Niger,144,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,,Africa,20001.663,"$2,036.93 "
Cambodia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,,Asia,15521.435,"$1,165.06 "
Tanzania,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,,Africa,51482.638,$919.07 
Madagascar,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,,Africa,24234.08,"$70,133.00 "
Central African Republic,148,3.678,0.0785,0,0.06699,0.48879,0.23835,0.08289,,Africa,4493.171,$353.81 
Chad,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,,Africa,14110.971,$946.88 
Guinea,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,,Africa,11432.096,"$3,923.56 "
Ivory Coast,151,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,,Africa,23226.148,$0.00 
Burkina Faso,152,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,,Africa,18110.616,$575.60 
Afghanistan,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,,Asia,34413.603,$594.51 
Rwanda,154,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,,Africa,11369.066,"$9,261.68 "
Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,,Africa,10575.962,"$1,076.91 "
Syria,156,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,,Asia,17997.411,"$82,511.34 "
Burundi,157,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,,Africa,10160.034,$294.50 
Togo,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,,Africa,7323.162,"$2,610.36 "
