country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population,gdp_usd
Finland,1,7.769,1.34,,0.986,0.596,0.153,0.393,1.587,Europe,5532.159,"$48,868.74 "
Denmark,2,7.6,1.383,,0.996,0.592,0.252,0.41,1.573,Europe,5771.877,"$59,795.27 "
Norway,3,7.554,1.488,,1.028,0.603,0.271,0.341,1.582,Europe,5378.859,"$77,975.43 "
Iceland,4,7.494,1.38,,1.026,0.591,0.354,0.118,1.624,Europe,339.037,"$67,037.34 "
Netherlands,5,7.488,1.396,,0.999,0.557,0.322,0.298,1.522,Europe,17097.123,"$52,367.85 "
Switzerland,6,7.48,1.452,,1.052,0.572,0.263,0.343,1.526,Europe,8591.361,"$83,716.81 "
Sweden,7,7.343,1.387,,1.009,0.574,0.267,0.373,1.487,Europe,10036.391,"$51,241.91 "
New Zealand,8,7.307,1.303,,1.026,0.585,0.33,0.38,1.557,Oceania,4783.062,"$40,634.14 "
Canada,9,7.278,1.365,,1.039,0.584,0.285,0.308,1.505,North America,37411.038,"$46,212.84 "
Austria,10,7.246,1.376,,1.016,0.532,0.244,0.226,1.475,Europe,8955.108,"$50,022.61 "
Australia,11,7.228,1.372,,1.036,0.557,0.332,0.29,1.548,Oceania,25203.2,"$53,825.16 "
Costa Rica,12,7.167,1.034,,0.963,0.558,0.144,0.093,1.441,North America,5047.561,"$12,014.80 "
Israel,13,7.139,1.276,,1.029,0.371,0.261,0.082,1.455,Asia,8519.373,"$42,823.31 "
Luxembourg,14,7.09,1.609,,1.012,0.526,0.194,0.316,1.479,Europe,615.73,"$113,196.49 "
United Kingdom,15,7.054,1.333,,0.996,0.45,0.348,0.278,1.538,Europe,67530.161,"$41,030.23 "
Ireland,16,7.021,1.499,,0.999,0.516,0.298,0.31,1.553,Europe,4882.498,"$77,771.21 "
Germany,17,6.985,1.373,,0.987,0.495,0.261,0.265,1.454,Europe,83517.046,"$46,563.99 "
Belgium,18,6.923,1.356,,0.986,0.473,0.16,0.21,1.504,Europe,11539.326,"$45,175.59 "
United States,19,6.892,1.433,,0.874,0.454,0.28,0.128,1.457,North America,329064.917,"$65,111.60 "
