happiness_rank,country,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr,continent,family,population,gdp_usd
58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,Europe,,1189.262,$0.00 
59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Asia,,145734.034,"$11,289.44 "
60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Asia,,18319.616,"$9,401.21 "
61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Europe,,1189.265,"$28,341.05 "
62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,South America,,11353.14,"$3,565.50 "
63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,Europe,,1322.913,"$23,330.28 "
64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,South America,,6956.069,"$5,934.18 "
65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,South America,,31989.265,"$7,007.17 "
66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,Europe,,1617,"$4,432.56 "
67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0,Europe,,4051.95,"$3,190.83 "
68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,Asia,,5850.902,"$7,064.74 "
69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,Europe,,9707.502,"$16,484.19 "
70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,Africa,,6678.565,"$6,287.65 "
71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,Asia,,106651.394,"$3,104.22 "
72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,North America,,9587.523,"$2,523.80 "
73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,Europe,,9452.615,"$6,283.48 "
74,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,Asia,,82340.09,"$9,405.32 "
75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,Asia,,212228.288,"$1,565.43 "
76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,Asia,,7371.728,"$48,450.61 "
77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,Europe,,10256.192,"$23,437.39 "
78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,Europe,,8802.741,"$7,223.00 "
79,Greece,5.358,1.154,1.202,0.879,0.131,0,0.044,Europe,,10522.244,"$20,317.18 "
80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,Asia,,6859.408,"$9,251.21 "
81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,Europe,,627.803,"$8,762.68 "
82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,Europe,,4156.407,"$14,870.42 "
83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,North America,,10627.147,"$8,340.96 "
84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,Africa,,42228.415,"$4,080.91 "
85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,Africa,,36029.089,"$3,365.52 "
86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,Asia,,1427647.789,"$9,580.24 "
87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,Europe,,9949.537,"$4,722.33 "
88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,Asia,,9100.847,$825.77 
89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,Europe,,2082.957,"$6,100.40 "
90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,Asia,,9965.322,"$4,270.17 "
91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,Africa,,195874.685,"$2,032.86 "
92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,Asia,,6304.025,"$1,293.46 "
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0,Europe,,3323.929,"$5,754.74 "
94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,Asia,,3170.214,"$4,017.22 "
95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,Asia,,95545.959,"$2,551.12 "
96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,Asia,,267670.549,"$3,870.56 "
97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,Asia,,754.396,"$3,160.06 "
98,Somalia,4.982,0,0.712,0.115,0.674,0.238,0.282,Africa,,15008.225,$0.00 
99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,Africa,,25216.261,"$1,555.67 "
100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,Europe,,7051.61,"$9,313.83 "
101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,Asia,,28095.712,"$1,033.91 "
102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,South America,,28887.117,"$3,410.85 "
103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,Africa,,2119.275,"$8,220.40 "
104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,Asia,,4862.978,$0.00 
105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,Africa,,57792.52,"$6,353.85 "
106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,Asia,,81800.204,"$5,416.53 "
107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,Africa,,25069.226,$0.00 
