country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent
Hungary,69,5.62,1.171,,0.732,0.259,0.061,0.022,1.401,Europe
Libya,70,5.566,0.985,,0.553,0.496,0.116,0.148,1.35,Africa
Philippines,71,5.524,0.775,,0.513,0.643,0.12,0.105,1.312,Asia
Honduras,72,5.504,0.62,,0.622,0.459,0.197,0.074,1.205,North America
Belarus,73,5.483,1.039,,0.7,0.307,0.101,0.154,1.498,Europe
Turkey,74,5.483,1.148,,0.686,0.324,0.106,0.109,1.38,Asia
Pakistan,75,5.472,0.652,,0.424,0.334,0.216,0.113,0.81,Asia
Hong Kong,76,5.43,1.405,,1.03,0.524,0.246,0.291,1.29,[null]
Portugal,77,5.41,1.188,,0.884,0.562,0.055,0.017,1.429,Europe
Serbia,78,5.398,0.975,,0.685,0.288,0.134,0.043,1.369,Europe
Greece,79,5.358,1.154,,0.879,0.131,0,0.044,1.202,Europe
Lebanon,80,5.358,0.965,,0.785,0.503,0.214,0.136,1.179,Asia
Montenegro,81,5.347,1.017,,0.729,0.259,0.111,0.081,1.279,Europe
Croatia,82,5.321,1.115,,0.737,0.38,0.12,0.039,1.161,Europe
Dominican Republic,83,5.302,0.982,,0.614,0.578,0.12,0.106,1.441,North America
Algeria,84,5.295,0.979,,0.687,0.077,0.055,0.135,1.154,Africa
Morocco,85,5.254,0.779,,0.669,0.46,0.026,0.074,0.797,Africa
China,86,5.246,0.989,,0.799,0.597,0.029,0.103,1.142,Asia
Azerbaijan,87,5.201,1.024,,0.603,0.43,0.031,0.176,1.161,Europe
Tajikistan,88,5.199,0.474,,0.598,0.292,0.187,0.034,1.166,Asia
Macedonia,89,5.185,0.959,,0.691,0.394,0.173,0.052,1.239,Europe
Jordan,90,5.161,0.822,,0.645,0.468,0.13,0.134,1.265,Asia
Nigeria,91,5.155,0.689,,0.048,0.462,0.201,0.032,1.172,Africa
Kyrgyzstan,92,5.131,0.53,,0.594,0.54,0.281,0.035,1.416,Asia
Bosnia and Herzegovina,93,5.129,0.915,,0.758,0.28,0.216,0,1.078,Europe
Mongolia,94,5.125,0.914,,0.575,0.395,0.253,0.032,1.517,Asia
Vietnam,95,5.103,0.715,,0.702,0.618,0.177,0.079,1.365,Asia
Indonesia,96,5.093,0.899,,0.522,0.538,0.484,0.018,1.215,Asia
Bhutan,97,5.082,0.796,,0.527,0.541,0.364,0.171,1.335,Asia
Somalia,98,4.982,0,,0.115,0.674,0.238,0.282,0.712,Africa
Cameroon,99,4.975,0.535,,0.182,0.454,0.183,0.043,0.891,Africa
Bulgaria,100,4.933,1.054,,0.712,0.359,0.064,0.009,1.515,Europe
Nepal,101,4.88,0.425,,0.539,0.526,0.302,0.078,1.228,Asia
Venezuela,102,4.806,0.996,,0.657,0.133,0.056,0.052,1.469,South America
Gabon,103,4.758,1.036,,0.404,0.356,0.032,0.052,1.164,Africa
Palestinian Territories,104,4.743,0.642,,0.602,0.266,0.086,0.076,1.217,[null]
South Africa,105,4.724,0.94,,0.33,0.516,0.103,0.056,1.41,Africa
Iran,106,4.707,1.059,,0.691,0.459,0.282,0.129,0.771,Asia
Ivory Coast,107,4.671,0.541,,0.08,0.467,0.146,0.103,0.872,Africa
Ghana,108,4.657,0.592,,0.337,0.499,0.212,0.029,0.896,Africa
Senegal,109,4.631,0.429,,0.433,0.406,0.138,0.082,1.117,Africa
Laos,110,4.623,0.72,,0.441,0.626,0.23,0.174,1.034,Asia
Tunisia,111,4.592,0.9,,0.69,0.271,0.04,0.063,0.906,Africa
Albania,112,4.586,0.916,,0.79,0.419,0.149,0.032,0.817,Europe
Sierra Leone,113,4.571,0.256,,0,0.355,0.238,0.053,0.813,Africa
Congo (Brazzaville),114,4.559,0.682,,0.343,0.514,0.091,0.077,0.811,[null]
Bangladesh,115,4.5,0.532,,0.579,0.58,0.153,0.144,0.85,Asia
Sri Lanka,116,4.471,0.918,,0.672,0.585,0.307,0.05,1.314,Asia
Iraq,117,4.456,1.01,,0.536,0.304,0.148,0.095,0.971,Asia
Mali,118,4.447,0.37,,0.152,0.367,0.139,0.056,1.233,Africa
Namibia,119,4.441,0.874,,0.365,0.519,0.051,0.064,1.281,Africa
Cambodia,120,4.433,0.549,,0.457,0.696,0.256,0.065,1.088,Asia
Burkina Faso,121,4.424,0.314,,0.254,0.312,0.175,0.128,1.097,[null]
Egypt,122,4.419,0.885,,0.553,0.312,0.092,0.107,1.025,Africa
Mozambique,123,4.417,0.198,,0.173,0.531,0.206,0.158,0.902,Africa
Kenya,124,4.41,0.493,,0.454,0.504,0.352,0.055,1.048,Africa
Zambia,125,4.377,0.562,,0.295,0.503,0.221,0.082,1.047,Africa
Mauritania,126,4.356,0.557,,0.292,0.129,0.134,0.093,1.245,Africa
Ethiopia,127,4.35,0.308,,0.391,0.452,0.22,0.146,0.95,Africa
Georgia,128,4.34,0.853,,0.643,0.375,0.038,0.215,0.592,Europe
Armenia,129,4.321,0.816,,0.666,0.26,0.077,0.028,0.99,Europe
Myanmar,130,4.308,0.682,,0.429,0.58,0.598,0.178,1.174,[null]
Chad,131,4.301,0.358,,0.053,0.189,0.181,0.06,0.907,Africa
Congo (Kinshasa),132,4.245,0.069,,0.204,0.312,0.197,0.052,1.136,[null]
India,133,4.19,0.721,,0.485,0.539,0.172,0.093,0.747,Asia
Niger,134,4.166,0.131,,0.221,0.39,0.175,0.099,0.867,Africa
Uganda,135,4.161,0.322,,0.237,0.45,0.259,0.061,1.09,Africa
Benin,136,4.141,0.378,,0.24,0.44,0.163,0.067,0.372,Africa
Sudan,137,4.139,0.605,,0.312,0.016,0.134,0.082,1.24,Africa
Ukraine,138,4.103,0.793,,0.609,0.163,0.187,0.011,1.413,Europe
Togo,139,3.999,0.259,,0.253,0.434,0.158,0.101,0.474,Africa
Guinea,140,3.964,0.344,,0.211,0.394,0.185,0.094,0.792,Africa
Lesotho,141,3.808,0.472,,0.079,0.423,0.116,0.112,1.215,Africa
Angola,142,3.795,0.73,,0.269,0,0.079,0.061,1.125,Africa
Madagascar,143,3.774,0.262,,0.402,0.221,0.155,0.049,0.908,Africa
Zimbabwe,144,3.692,0.357,,0.248,0.406,0.132,0.099,1.094,Africa
Afghanistan,145,3.632,0.332,,0.255,0.085,0.191,0.036,0.537,Asia
Botswana,146,3.59,1.017,,0.417,0.557,0.042,0.092,1.174,Africa
Malawi,147,3.587,0.186,,0.306,0.531,0.21,0.08,0.541,Africa
Haiti,148,3.582,0.315,,0.289,0.025,0.392,0.104,0.714,North America
Liberia,149,3.495,0.076,,0.267,0.419,0.206,0.03,0.858,Africa
Syria,150,3.462,0.689,,0.539,0.088,0.376,0.144,0.382,Asia
Rwanda,151,3.408,0.332,,0.4,0.636,0.2,0.444,0.896,Africa
Yemen,152,3.355,0.442,,0.343,0.244,0.083,0.064,1.073,Asia
Tanzania,153,3.303,0.455,,0.381,0.481,0.27,0.097,0.991,Africa
South Sudan,154,3.254,0.337,,0.177,0.112,0.224,0.106,0.608,Africa
Central African Republic,155,3.083,0.024,,0.01,0.305,0.218,0.038,0,Africa
Burundi,156,2.905,0.091,,0.145,0.065,0.149,0.076,0.627,Africa
