country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,year,population
Vietnam,96,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556,,Asia,2016,93640.435
Somalia,97,5.057,0.25558,0.75862,0.33108,0.3913,0.51479,0.36794,,Africa,2016,14185.635
Tunisia,98,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817,,Africa,2016,11303.942
Greece,99,5.033,1.24886,0.75473,0.80029,0.05822,0,0.04127,,Europe,2016,10615.183
Tajikistan,100,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509,,Asia,2016,8663.575
Mongolia,101,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285,,Asia,2016,3056.358
Laos,102,4.876,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423,,Asia,2016,6845.848
Nigeria,103,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,,Africa,2016,185960.244
Honduras,104,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906,,North America,2016,9270.794
Iran,105,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,,Asia,2016,79563.991
Zambia,106,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,,Africa,2016,16363.449
Nepal,107,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008,,Asia,2016,27263.430
Palestine,108,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613,,Europe,2016,4635.644
Albania,109,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,,Europe,2016,2886.427
Bangladesh,110,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,,Asia,2016,157977.151
Sierra Leone,111,4.635,0.36485,0.628,0,0.30685,0.23897,0.08196,,Africa,2016,7328.846
Iraq,112,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636,,Asia,2016,36610.632
Namibia,113,4.574,0.93287,0.70362,0.34745,0.48614,0.07795,0.10398,,Africa,2016,2358.044
Cameroon,114,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126,,Africa,2016,23926.549
Ethiopia,115,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,,Africa,2016,103603.461
South Africa,116,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415,,Africa,2016,56207.649
Sri Lanka,117,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964,,Asia,2016,21021.177
India,118,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,,Asia,2016,1324517.250
Myanmar,119,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243,,Asia,2016,53045.199
Egypt,120,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393,,Africa,2016,94447.071
Armenia,121,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,,Europe,2016,2936.147
Kenya,122,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686,,Africa,2016,49051.531
Ukraine,123,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,,Europe,2016,44713.708
Ghana,124,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326,,Africa,2016,28481.947
Congo (Kinshasa),125,4.272,0.05661,0.80676,0.188,0.15602,0.25458,0.06075,,Africa,2016,78789.130
Georgia,126,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188,,Europe,2016,4015.457
Congo (Brazzaville),127,4.236,0.77109,0.47799,0.28212,0.37938,0.12077,0.09753,,Africa,2016,4980.996
Senegal,128,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681,,Africa,2016,14993.514
Bulgaria,129,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,,Europe,2016,7151.948
Mauritania,130,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955,,Africa,2016,4163.532
Zimbabwe,131,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582,,Africa,2016,14030.338
Malawi,132,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564,,Africa,2016,17205.253
Sudan,133,4.139,0.63069,0.81928,0.29759,0,0.18077,0.10039,,Africa,2016,39847.433
Gabon,134,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314,,Africa,2016,2007.882
Mali,135,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647,,Africa,2016,17965.448
Haiti,136,4.028,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476,,North America,2016,10839.976
Botswana,137,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769,,Africa,2016,2159.925
Comoros,138,3.956,0.27509,0.60323,0.29981,0.15412,0.1827,0.18437,,Africa,2016,795.597
Ivory Coast,139,3.916,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553,,Africa,2016,23822.726
Cambodia,140,3.907,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092,,Asia,2016,15766.290
Angola,141,3.866,0.84731,0.66366,0.04991,0.00589,0.12071,0.08434,,Africa,2016,28842.482
Niger,142,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176,,Africa,2016,20788.789
South Sudan,143,3.832,0.39394,0.18519,0.15781,0.19662,0.25899,0.13015,,Africa,2016,10832.520
Chad,144,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952,,Africa,2016,14561.658
Burkina Faso,145,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533,,Africa,2016,18646.350
Uganda,145,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442,,Africa,2016,39649.173
Yemen,147,3.724,0.57939,0.47493,0.31048,0.2287,0.09821,0.05892,,Asia,2016,27168.210
Madagascar,148,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506,,Africa,2016,24894.370
Tanzania,149,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099,,Africa,2016,53049.231
Liberia,150,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852,,Africa,2016,4586.788
Guinea,151,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192,,Africa,2016,11738.434
Rwanda,152,3.515,0.32846,0.61586,0.31865,0.5432,0.23552,0.50521,,Africa,2016,11668.829
Benin,153,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681,,Africa,2016,10872.072
Afghanistan,154,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112,,Asia,2016,35383.028
Togo,155,3.303,0.28123,0,0.24811,0.34678,0.17517,0.11587,,Africa,2016,7509.952
Syria,156,3.069,0.74719,0.14866,0.62994,0.06912,0.48397,0.17233,,Asia,2016,17465.567
Burundi,157,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419,,Africa,2016,10488.002
Norway,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,,Europe,2017,5296.324
Denmark,2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,,Europe,2017,5732.277
Iceland,3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,,Europe,2017,334.395
Switzerland,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,,Europe,2017,8455.797
Finland,5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,,Europe,2017,5511.372
Netherlands,6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,,Europe,2017,17021.343
Canada,7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,,North America,2017,36732.091
New Zealand,8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,,Oceania,2017,4702.029
Sweden,9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,,Europe,2017,9904.895
Australia,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,,Oceania,2017,24584.619
Israel,11,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,,Asia,2017,8243.849
Costa Rica,12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,,North America,2017,4949.955
Austria,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,,Europe,2017,8819.902
United States,14,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,,North America,2017,325084.758
Ireland,15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,,Europe,2017,4753.281
Germany,16,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,,Europe,2017,82658.409
Belgium,17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,,Europe,2017,11419.752
Luxembourg,18,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,,Europe,2017,591.914
United Kingdom,19,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,,Europe,2017,66727.463
Chile,20,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,,South America,2017,18470.435
United Arab Emirates,21,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564,,Asia,2017,9487.206
Brazil,22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,,South America,2017,207833.825
Czech Republic,23,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,,Europe,2017,10641.032
Argentina,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,,South America,2017,43937.143
Mexico,25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,,North America,2017,124777.326
Singapore,26,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,,Asia,2017,5708.042
Malta,27,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,,Europe,2017,437.935
Uruguay,28,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,,South America,2017,3436.645
Guatemala,29,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,,North America,2017,16914.979
Panama,30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,,North America,2017,4106.764
France,31,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428,,Europe,2017,64842.513
Thailand,32,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,,Asia,2017,69209.817
Taiwan,33,6.421999931,1.433626533,1.384565353,0.793984234,0.361466587,0.258360475,0.063829236,,Asia,2017,23674.546
Spain,34,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,,Europe,2017,46647.425
Qatar,35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,,Asia,2017,2724.727
Colombia,36,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,,South America,2017,48909.844
Saudi Arabia,37,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,,Asia,2017,33101.183
Trinidad and Tobago,38,6.168000221,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,,North America,2017,1384.060
Kuwait,39,6.105000019,1.632952452,1.259698749,0.632105708,0.496337593,0.228289798,0.21515955,,Asia,2017,4056.102
Slovakia,40,6.09800005,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852,,Europe,2017,5447.903
Bahrain,41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217,,Asia,2017,1494.077
Malaysia,42,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,,Asia,2017,31104.655
Nicaragua,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982,,North America,2017,6384.843
Ecuador,44,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647,,South America,2017,16785.356
El Salvador,45,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,,North America,2017,6388.124
Poland,46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,,Europe,2017,37953.176
Uzbekistan,47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223,,Asia,2017,31959.774
Italy,48,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,,Europe,2017,60673.694
Russia,49,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,,Asia,2017,145530.091
Belize,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,,North America,2017,375.775
Japan,51,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,,Asia,2017,127502.728
Lithuania,52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,,Europe,2017,2845.419
Algeria,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,,Africa,2017,41389.174
Latvia,54,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,,Europe,2017,1951.097
South Korea,55,5.837999821,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,0.063282669,,Asia,2017,25429.816
Moldova,56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,,Europe,2017,4059.687
Romania,57,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901,,Europe,2017,19653.966
Bolivia,58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,,South America,2017,11192.853
Turkmenistan,59,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,,Asia,2017,5757.667
Kazakhstan,60,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886,,Asia,2017,18080.023
North Cyprus,61,5.809999943,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,,Europe,2017,1179.685
Slovenia,62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979,,Europe,2017,2076.395
Peru,63,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,,South America,2017,31444.299
Mauritius,64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555,,Africa,2017,1264.497
Cyprus,65,5.620999813,1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,0.041237976,,Europe,2017,1179.678
Estonia,66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,,Europe,2017,1319.389
Belarus,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,,Europe,2017,9450.233
Libya,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,,Africa,2017,6580.723
Turkey,69,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,,Asia,2017,81116.451
Paraguay,70,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,,South America,2017,6867.058
Hong Kong,71,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,0.293933749,,Asia,2017,7306.315
Philippines,72,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,0.099331893,,Asia,2017,105172.921
Serbia,73,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,,Europe,2017,8829.623
Jordan,74,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,0.119803272,,Asia,2017,9785.840
Hungary,75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,,Europe,2017,9729.822
Jamaica,76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,,North America,2017,2920.848
Croatia,77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311,,Europe,2017,4182.847
Kosovo,78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618,,Europe,2017,1617
China,79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275,,Asia,2017,1421021.794
Pakistan,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,,Asia,2017,207906.210
Indonesia,81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135,,Asia,2017,264650.969
Venezuela,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,,South America,2017,29402.480
Montenegro,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,,Europe,2017,627.563
Morocco,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.087763183,,Africa,2017,35581.257
Azerbaijan,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,,Europe,2017,9845.316
Dominican Republic,86,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,,North America,2017,10513.111
Greece,87,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,,Europe,2017,10569.449
Lebanon,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,,Asia,2017,6819.373
Portugal,89,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,,Europe,2017,10288.527
Bosnia and Herzegovina,90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0,,Europe,2017,3351.534
Honduras,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,,North America,2017,9429.016
Macedonia,92,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794,,Europe,2017,2081.996
Somalia,93,5.151000023,0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,0.282410324,,Africa,2017,14589.165
Vietnam,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,,Asia,2017,94600.643
Nigeria,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,,Africa,2017,190873.247
Tajikistan,96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,,Asia,2017,8880.270
Bhutan,97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.474054545,0.17338039,,Asia,2017,745.563
Kyrgyzstan,98,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179,,Asia,2017,6189.727
Nepal,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,,Asia,2017,27632.682
Mongolia,100,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,,Asia,2017,3113.788
South Africa,101,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,,Africa,2017,57009.751
Tunisia,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,,Africa,2017,11433.438
Palestine,103,4.775000095,0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,0.089282602,,Asia,2017,4747.233
Egypt,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,,Africa,2017,96442.590
Bulgaria,105,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,,Europe,2017,7102.452
Sierra Leone,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,,Africa,2017,7488.427
Cameroon,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,,Africa,2017,24566.070
Iran,108,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073,,Asia,2017,80673.888
Albania,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,,Europe,2017,2884.169
Bangladesh,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,,Asia,2017,159685.421
Namibia,111,4.573999882,0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,0.093146972,,Africa,2017,2402.623
Kenya,112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,,Africa,2017,50221.146
Mozambique,113,4.550000191,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,,Africa,2017,28649.007
Myanmar,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,,Asia,2017,53382.521
Senegal,115,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,,Africa,2017,15419.354
Zambia,116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,,Africa,2017,16853.608
Iraq,117,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755,,Asia,2017,37552.789
Gabon,118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,,Africa,2017,2064.812
Ethiopia,119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,,Africa,2017,106399.926
Sri Lanka,120,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,,Asia,2017,21128.028
Armenia,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,,Europe,2017,2944.789
India,122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,,Asia,2017,1338676.779
Mauritania,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,,Africa,2017,4282.582
Congo (Brazzaville),124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,0.079618134,,Africa,2017,5110.701
Georgia,125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,,Europe,2017,4008.723
Congo (Kinshasa),126,4.28000021,0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,0.060241356,,Africa,2017,81398.765
Mali,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,,Africa,2017,18512.429
Ivory Coast,128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775,,Africa,2017,24437.475
Cambodia,129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,,Asia,2017,16009.413
Sudan,130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,,Africa,2017,40813.398
Ghana,131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,,Africa,2017,29121.464
Ukraine,132,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,,Europe,2017,44487.708
Uganda,133,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,,Africa,2017,41166.588
Burkina Faso,134,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,,Africa,2017,19193.236
Niger,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,,Africa,2017,21602.388
Malawi,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,,Africa,2017,17670.193
Chad,137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,,Africa,2017,15016.761
Zimbabwe,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,,Africa,2017,14236.599
Lesotho,139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,,Africa,2017,2091.532
Angola,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,,Africa,2017,29816.769
Afghanistan,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,,Asia,2017,36296.111
Botswana,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,,Africa,2017,2205.076
Benin,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,,Africa,2017,11175.192
Madagascar,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,,Africa,2017,25570.511
Haiti,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,,North America,2017,10982.367
Yemen,146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,,Asia,2017,27834.811
South Sudan,147,3.59100008,0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,0.116793513,,Africa,2017,10910.774
Liberia,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,,Africa,2017,4702.224
Guinea,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,,Africa,2017,12067.516
Togo,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,,Africa,2017,7698.476
Rwanda,151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,,Africa,2017,11980.960
Syria,152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,,Asia,2017,17095.669
Tanzania,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,,Africa,2017,54660.345
Burundi,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,,Africa,2017,10827.010
Central African Republic,155,2.693000078,0,0,0.018772686,0.270842046,0.280876487,0.056565076,,Africa,2017,4596.023
Finland,1,7.632,1.305,,0.874,0.681,0.202,0.393,1.592,Europe,2018,5522.585
Norway,2,7.594,1.456,,0.861,0.686,0.286,0.34,1.582,Europe,2018,5337.960
Denmark,3,7.555,1.351,,0.868,0.683,0.284,0.408,1.59,Europe,2018,5752.131
Iceland,4,7.495,1.343,,0.914,0.677,0.353,0.138,1.644,Europe,2018,336.712
Switzerland,5,7.487,1.42,,0.927,0.66,0.256,0.357,1.549,Europe,2018,8525.614
Netherlands,6,7.441,1.361,,0.878,0.638,0.333,0.295,1.488,Europe,2018,17059.560
Canada,7,7.328,1.33,,0.896,0.653,0.321,0.291,1.532,North America,2018,37074.558
New Zealand,8,7.324,1.268,,0.876,0.669,0.365,0.389,1.601,Oceania,2018,4743.131
Sweden,9,7.314,1.355,,0.913,0.659,0.285,0.383,1.501,Europe,2018,9971.630
Australia,10,7.272,1.34,,0.91,0.647,0.361,0.302,1.573,Oceania,2018,24898.153
United Kingdom,11,7.19,1.244,,0.888,0.464,0.262,0.082,1.433,Europe,2018,67141.678
Austria,12,7.139,1.341,,0.891,0.617,0.242,0.224,1.504,Europe,2018,8891.383
Costa Rica,13,7.072,1.01,,0.817,0.632,0.143,0.101,1.459,North America,2018,4999.443
Ireland,14,6.977,1.448,,0.876,0.614,0.307,0.306,1.583,Europe,2018,4818.694
Germany,15,6.965,1.34,,0.861,0.586,0.273,0.28,1.474,Europe,2018,83124.413
Belgium,16,6.927,1.324,,0.894,0.583,0.188,0.24,1.483,Europe,2018,11482.180
Luxembourg,17,6.91,1.576,,0.896,0.632,0.196,0.321,1.52,Europe,2018,604.244
United States,18,6.886,1.398,,0.819,0.547,0.291,0.133,1.471,North America,2018,327096.263
Israel,19,6.814,1.301,,0.883,0.533,0.354,0.272,1.559,Asia,2018,8381.507
