country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,year,population
Belarus,59,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,,Europe,2015,9439.424
Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,,Europe,2015,38034.076
Malaysia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,,Asia,2015,30270.965
Croatia,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,,Europe,2015,4232.874
Libya,63,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,,Africa,2015,6418.315
Russia,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,,Asia,2015,144985.059
Jamaica,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,,North America,2015,2891.024
North Cyprus,66,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,,Europe,2015,1160.987
Cyprus,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,,Europe,2015,1160.985
Algeria,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,,Africa,2015,39728.020
Kosovo,69,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,,Europe,2015,1617
Turkmenistan,70,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,,Asia,2015,5565.283
Mauritius,71,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,,Africa,2015,1259.457
Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,,Asia,2015,7185.992
Estonia,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,,Europe,2015,1315.330
Indonesia,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0,,Asia,2015,258383.257
Vietnam,75,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,,Asia,2015,92677.082
Turkey,76,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,,Asia,2015,78529.413
Kyrgyzstan,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,,Asia,2015,5959.126
Nigeria,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,,Africa,2015,181137.454
Bhutan,79,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,,Asia,2015,727.885
Azerbaijan,80,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,,Europe,2015,9622.741
Pakistan,81,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,,Asia,2015,199426.953
Jordan,82,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,,Asia,2015,9266.573
Montenegro,82,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,,Europe,2015,626.957
China,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,,Asia,2015,1406847.868
Zambia,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,,Africa,2015,15879.370
Romania,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,,Europe,2015,19925.182
Serbia,87,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,,Europe,2015,8876.777
Portugal,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,,Europe,2015,10368.346
Latvia,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,,Europe,2015,1997.675
Philippines,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,,Asia,2015,102113.206
Somalia,91,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,,Africa,2015,13797.204
Morocco,92,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,,Africa,2015,34663.608
Macedonia,93,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,,Europe,2015,2079.335
Mozambique,94,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,,Africa,2015,27042.001
Albania,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,,Europe,2015,2890.524
Bosnia and Herzegovina,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,,Europe,2015,3429.362
Lesotho,97,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,,Africa,2015,2059.011
Dominican Republic,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,,North America,2015,10281.675
Laos,99,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,,Asia,2015,6741.160
Mongolia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,,Asia,2015,2998.433
Swaziland,101,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,,Africa,2015,1104.038
Greece,102,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,,Europe,2015,10659.737
Lebanon,103,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,,Asia,2015,6532.681
Hungary,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,,Europe,2015,9777.925
Honduras,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,,North America,2015,9112.904
Tajikistan,106,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,,Asia,2015,8454.019
Tunisia,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,,Africa,2015,11179.951
Palestine,108,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,,Asia,2015,4529.160
Bangladesh,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,,Asia,2015,156256.287
Iran,110,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,,Asia,2015,78492.208
